date,model_type,ev_portion,max_peak,charging_costs,carbon_emissions
2023-02-17,ps,80%,-40.13440575338372,-5.305929639752211,-7.566699983633077
2023-02-17,ccm,80%,0.934917979059214,-17.587026285772303,-18.88934010066304
2023-02-17,cem,80%,-4.233005019578089,-14.065546648836277,-25.472331214096545
2023-02-17,ps,100%,-43.32106995895167,-5.291099766528684,-7.253556285427723
2023-02-17,ccm,100%,2.2108637793370405,-17.536011188036397,-18.859103796185845
2023-02-17,cem,100%,-2.1685216549721833,-14.031317570010009,-25.44380599728547
2023-02-18,ps,15%,-14.5591797728948,1.406847056255459,2.1705714042627196
2023-02-18,ccm,15%,1.8373188071276831,-13.284081851115513,-5.730050282444452
2023-02-18,cem,15%,-2.609792878466137,-4.947161906472168,-12.074436432521091
2023-02-18,ps,30%,-22.552011575028896,-3.5525632600274033,-2.0619260503240455
2023-02-18,ccm,30%,2.470704137716483,-14.574925060025262,-6.730340706852076
2023-02-18,cem,30%,0.292958622835222,-6.179846231940664,-12.877422440015184
2023-02-18,ps,50%,-29.779106767221386,-3.634064206936105,-1.7375454067873428
2023-02-18,ccm,50%,4.3564399078321205,-15.383764240041849,-7.390295307568728
2023-02-18,cem,50%,3.4412214398001635,-6.881342995473326,-13.503057012634423
2023-02-18,ps,80%,-36.6597866502005,-3.2790547570404316,-1.2282490486546898
2023-02-18,ccm,80%,5.817786505821297,-15.308143961361091,-7.233484454016308
2023-02-18,cem,80%,6.282437929583395,-6.697436586204784,-13.384392724020556
2023-02-18,ps,100%,-40.32713212590939,-3.1923041831894707,-1.0595886686171316
2023-02-18,ccm,100%,5.833985303818249,-15.258442666734798,-7.180604716977171
2023-02-18,cem,100%,7.16860723763941,-6.686570446229981,-13.350241880583877
2023-02-19,ps,15%,-0.0937910335751737,14.17672616391564,4.168267139688419
2023-02-19,ccm,15%,2.1316143994815913,-24.702522388267894,-17.680617577632685
2023-02-19,cem,15%,2.7881516345219213,-19.17364284456134,-21.855064137461056
2023-02-19,ps,30%,-0.2808462834618496,12.326388412631466,6.539584281066448
2023-02-19,ccm,30%,5.702030603734404,-25.618206436055495,-17.912273992293706
2023-02-19,cem,30%,7.404129291416315,-20.193117286907043,-21.891834792010066
2023-02-19,ps,50%,-0.3741114845382713,12.376251637350151,7.898844812238286
2023-02-19,ccm,50%,11.087304016596946,-26.298696396803013,-18.237852771075293
2023-02-19,cem,50%,13.944155358296772,-20.814411131422865,-22.182976219913456
2023-02-19,ps,80%,-0.8378328057495993,13.069991394780414,8.856782446346315
2023-02-19,ccm,80%,16.51123034478089,-26.183108042483568,-18.24403395846171
2023-02-19,cem,80%,20.768098034901236,-20.625626947124935,-22.20182079348537
2023-02-19,ps,100%,-6.619487080705055,13.08887190223536,8.977628792438212
2023-02-19,ccm,100%,14.751589920145364,-26.14040075117637,-18.182893903961215
2023-02-19,cem,100%,18.98659525972682,-20.622638570495628,-22.147645761007578
2023-02-20,ps,15%,-6.470478442105812,3.7845632012333095,3.907353639396866
2023-02-20,ccm,15%,-5.661668636844397,-22.56229989465891,-14.675550629677272
2023-02-20,cem,15%,-6.470478442107883,-17.073735668019584,-20.54333453796989
2023-02-20,ps,30%,-12.634392978789244,3.594876956097977,5.280488719555449
2023-02-20,ccm,30%,-11.36746672865694,-23.82325675779419,-14.922341742463145
2023-02-20,cem,30%,-12.570465508223396,-18.34372857895918,-20.587246124447287
2023-02-20,ps,50%,-19.695512818394658,-10.246618527514723,-6.578063044962301
2023-02-20,ccm,50%,-18.002136752136753,-24.688335851539193,-15.133647870909924
2023-02-20,cem,50%,-19.51923076923077,-19.096054025453487,-20.869431770699965
2023-02-20,ps,80%,-27.548315581473304,-8.841056674138226,-4.992284599004274
2023-02-20,ccm,80%,-18.838498240879268,-24.563585417522713,-15.202320955272189
2023-02-20,cem,80%,-16.553086895754003,-18.97784108722795,-20.93394336714302
2023-02-20,ps,100%,-32.49966323913819,-10.189762463517022,-6.737956001883716
2023-02-20,ccm,100%,-17.030218670019483,-24.50432182792709,-15.157202514383492
2023-02-20,cem,100%,-14.312783440348428,-18.92936619456657,-20.85412556444755
2023-02-21,ps,15%,-7.584136514431523,-11.32968553004017,-6.773631783440772
2023-02-21,ccm,15%,-5.324695844525201,-17.397684259051413,-11.10254909704315
2023-02-21,cem,15%,-4.0132722389003,-15.16052726390106,-12.75706342278167
2023-02-21,ps,30%,-15.041034206786543,-11.132858067964774,-6.831945765350422
2023-02-21,ccm,30%,-3.789672452610932,-17.746701368117535,-11.083045321506308
2023-02-21,cem,30%,-2.543394582032106,-15.40293582534898,-12.986948055645724
2023-02-21,ps,50%,-20.822128346797165,-10.43339588565002,-6.4734861337700815
2023-02-21,ccm,50%,-1.358436294698302,-18.130463559378864,-11.22602231779731
2023-02-21,cem,50%,-0.0536052820814586,-15.691991574593086,-13.241121332087028
2023-02-21,ps,80%,-25.54190929695382,-9.645919665843635,-6.234747300514972
2023-02-21,ccm,80%,1.8560297709035976,-18.04983841980286,-11.25554944038484
2023-02-21,cem,80%,3.5283172461914134,-15.640757638823802,-13.269089761012632
2023-02-21,ps,100%,-28.190714782034043,-9.340388260551803,-6.125569650471934
2023-02-21,ccm,100%,3.797795106211351,-18.02369900023135,-11.199895649712076
2023-02-21,cem,100%,5.694003764452806,-15.584084131723175,-13.215969109507244
2023-02-22,ps,15%,-6.927275118348594,-8.091161447324476,-4.076554005783682
2023-02-22,ccm,15%,1.834560757496396,-15.875888923114545,-6.662395688477211
2023-02-22,cem,15%,-0.516175697001245,-11.529863876185455,-8.40340464266852
2023-02-22,ps,30%,-14.219458018359129,-8.176130431999006,-4.559823394640436
2023-02-22,ccm,30%,2.296740013846977,-16.406610445011474,-7.210145774211744
2023-02-22,cem,30%,1.6796604557361414,-12.204991889685516,-8.964669444546516
2023-02-22,ps,50%,-19.20718504741354,-7.790206970414975,-4.604487544274298
2023-02-22,ccm,50%,3.3181768972610133,-16.882430530518093,-7.552696068186536
2023-02-22,cem,50%,4.075998700876905,-12.633205758129144,-9.377273515339349
2023-02-22,ps,80%,-24.257532152176783,-7.320561040308145,-4.396269622486301
2023-02-22,ccm,80%,5.013129338976755,-16.81090822810163,-7.458455639987327
2023-02-22,cem,80%,7.29847363940479,-12.480807987366967,-9.304189030596149
2023-02-22,ps,100%,-27.10969095222343,-7.149592458341332,-4.3061400217504096
2023-02-22,ccm,100%,7.0846374182988505,-16.776198896945786,-7.441040630702083
2023-02-22,cem,100%,9.192554826865427,-12.502569623696337,-9.282128163199776
2023-02-23,ps,15%,-7.194244604311442,-6.676341993063593,-7.096967437341714
2023-02-23,ccm,15%,-3.904118084842784,-14.945864599342418,-10.513050317068124
2023-02-23,cem,15%,-3.7955842222776632,-11.927361099181784,-12.1306073437134
2023-02-23,ps,30%,-14.62071719744432,-7.11452776351704,-7.223575119030823
2023-02-23,ccm,30%,-2.2651413573734085,-15.297315065524405,-11.058556660235238
2023-02-23,cem,30%,-1.6945767837277863,-12.308915467775638,-12.91607046977112
2023-02-23,ps,50%,-22.073491753781944,-7.403532523482538,-7.567833903698459
2023-02-23,ccm,50%,0.2413027769172578,-15.666171336444709,-11.511745546284985
2023-02-23,cem,50%,0.944564880767779,-12.700609578256802,-13.463066947074484
2023-02-23,ps,80%,-26.54683456509743,-7.208897648136789,-7.284372024233172
2023-02-23,ccm,80%,3.455415478052816,-15.61758934477552,-11.369518134038277
